phase,parent_acc_train,parent_precision_train,parent_recall_train,parent_f1_train,parent_acc_test,parent_precision_test,parent_recall_test,parent_f1_test,client1_acc_train,client1_precision_train,client1_recall_train,client1_f1_train,client1_acc_test,client1_precision_test,client1_recall_test,client1_f1_test,client2_acc_train,client2_precision_train,client2_recall_train,client2_f1_train,client2_acc_test,client2_precision_test,client2_recall_test,client2_f1_test,local_client_training_time,initial_parent_training_time,total_execution_time
1,0.953627760252366,0.9536337879383593,0.953627760252366,0.9505010845266693,0.9580342352291552,0.9572552680553235,0.9580342352291552,0.9560032408032705,0.9371859296482412,0.9404329339002705,0.9371859296482412,0.930376207809102,0.94,0.9467924528301888,0.94,0.9367333333333333,0.9420654911838791,0.9438726197450378,0.9420654911838791,0.9396747098460712,0.93,0.9330000000000002,0.93,0.9283373332589161,259.87981486320496,714.9244465827942,5033.238129854202
2,0.9629337539432177,0.9620577736197636,0.9629337539432177,0.9621965351005174,0.9613473219215903,0.9617642323850715,0.9613473219215903,0.9615122735274085,0.9547738693467337,0.9557719151312116,0.9547738693467337,0.9527957642758333,0.97,0.971875,0.97,0.969178925912797,0.947103274559194,0.9486125076746336,0.947103274559194,0.9476665597648269,0.94,0.942040404040404,0.94,0.9405799892990905,278.3019061088562,N/A,5033.238129854202
3,0.9600946372239748,0.9601486558564121,0.9600946372239748,0.9601090313378408,0.9613473219215903,0.9625952889436356,0.9613473219215903,0.961777779945158,0.9748743718592965,0.9746305829848544,0.9748743718592965,0.9746869587951253,0.94,0.9398144712430426,0.94,0.9394763150831992,0.9622166246851386,0.9615627282360286,0.9622166246851386,0.9617637292223,0.97,0.9733150183150184,0.97,0.9704097033294468,232.14505457878113,N/A,5033.238129854202
4,0.9635646687697161,0.9632736595156531,0.9635646687697161,0.9622638731010773,0.9674213141910547,0.9668519391652417,0.9674213141910547,0.9667030064810767,0.9849246231155779,0.9848556808432407,0.9849246231155779,0.9845554926181181,0.99,0.9901960784313725,0.99,0.9895949594959496,0.9596977329974811,0.9625764663548038,0.9596977329974811,0.9552437787588514,0.96,0.9626666666666667,0.96,0.9540229885057471,230.72310066223145,N/A,5033.238129854202
5,0.966403785488959,0.9657589243225262,0.966403785488959,0.9657291621126315,0.9674213141910547,0.9668938191127023,0.9674213141910547,0.9670838971806403,0.9748743718592965,0.9749113577248153,0.9748743718592965,0.9744430523539042,0.95,0.9483333333333335,0.95,0.9489178553861288,0.947103274559194,0.9466318034874214,0.947103274559194,0.9467968594446505,0.93,0.9322802197802198,0.93,0.930962962962963,230.868150472641,N/A,5033.238129854202
6,0.9646687697160883,0.9641709700852682,0.9646687697160883,0.9642389066742193,0.9701822197680839,0.9702253235966976,0.9701822197680839,0.9702023681793446,0.9623115577889447,0.961852076055167,0.9623115577889447,0.9607708254609149,0.95,0.9517823129251701,0.95,0.9500353324461983,0.982367758186398,0.9838621852694902,0.982367758186398,0.9827662086828918,0.97,0.9696111111111111,0.97,0.9695685393258426,230.3340606689453,N/A,5033.238129854202
7,0.9624605678233439,0.9633569595375511,0.9624605678233439,0.9627973818903746,0.9668691330756488,0.9686299760271192,0.9668691330756488,0.9674283299636461,0.9748743718592965,0.9747221254788795,0.9748743718592965,0.9747398096717124,0.96,0.9642072213500785,0.96,0.9612666666666666,0.964735516372796,0.9653772861679992,0.964735516372796,0.9650000486272526,0.98,0.9828571428571428,0.98,0.980506072874494,236.65554785728455,N/A,5033.238129854202
8,0.9645110410094637,0.9640405138408902,0.9645110410094637,0.9641012982447045,0.9679734953064605,0.9680353722329964,0.9679734953064605,0.9680036733647935,0.9748743718592965,0.9746646795827124,0.9748743718592965,0.9746849780039848,0.96,0.96,0.96,0.96,0.9798488664987406,0.9801452066972886,0.9798488664987406,0.9799763479634132,0.97,0.9716071428571428,0.97,0.9680444229840657,234.20702815055847,N/A,5033.238129854202
9,0.9701892744479496,0.9697551692955323,0.9701892744479496,0.96947561097343,0.9734953064605191,0.9730316836448569,0.9734953064605191,0.9731105165040603,0.9798994974874372,0.9799515174214759,0.9798994974874372,0.979654926517287,0.96,0.963076923076923,0.96,0.9571636363636364,0.9773299748110831,0.9770760883540948,0.9773299748110831,0.9771180910056655,0.97,0.9716666666666666,0.97,0.9699547811059908,229.9542989730835,N/A,5033.238129854202
10,0.9695583596214511,0.9690613734286548,0.9695583596214511,0.9688494276848644,0.9707344008834898,0.9701870018235824,0.9707344008834898,0.9702347688473646,0.9777227722772277,0.9776895233825583,0.9777227722772277,0.977699223596481,0.9702970297029703,0.9714267580604213,0.9702970297029703,0.9706677071648051,0.9702970297029703,0.9719704364802677,0.9702970297029703,0.96874730951356,0.9411764705882353,0.9466063348416289,0.9411764705882353,0.9327956989247312,232.71976280212402,N/A,5033.238129854202
