phase,parent_acc_train,parent_precision_train,parent_recall_train,parent_f1_train,parent_acc_test,parent_precision_test,parent_recall_test,parent_f1_test,client1_acc_train,client1_precision_train,client1_recall_train,client1_f1_train,client1_acc_test,client1_precision_test,client1_recall_test,client1_f1_test,client2_acc_train,client2_precision_train,client2_recall_train,client2_f1_train,client2_acc_test,client2_precision_test,client2_recall_test,client2_f1_test,local_client_training_time,initial_parent_training_time,total_execution_time
1,0.9549144679617281,0.954672063311778,0.9549144679617281,0.9541915777149104,0.9497716894977168,0.949228131418001,0.9497716894977168,0.9488823749158567,0.9423963133640553,0.9435730684750884,0.9423963133640553,0.9404399790883065,0.9541284403669725,0.9568357940657437,0.9541284403669725,0.952278191294982,0.9629629629629629,0.9633453938749402,0.9629629629629629,0.9631238473373286,0.9724770642201835,0.9742146232971921,0.9724770642201835,0.9729582201763542,261.9708821773529,770.4605588912964,5268.245329618454
2,0.9508553203827196,0.9518077203983244,0.9508553203827196,0.9493094100717323,0.9467275494672754,0.9475274769700845,0.9467275494672754,0.9447670710444136,0.9516129032258065,0.952567460605224,0.9516129032258065,0.950291914770353,0.981651376146789,0.981651376146789,0.981651376146789,0.981651376146789,0.9398148148148148,0.9442015095624251,0.9398148148148148,0.9371985651953194,0.981651376146789,0.982262996941896,0.981651376146789,0.9807875049672592,248.6059968471527,N/A,5268.245329618454
3,0.9546245288489417,0.9548105074592554,0.9546245288489417,0.9536959480995931,0.9512937595129376,0.9513598840849667,0.9512937595129376,0.9500496736411952,0.9654377880184332,0.9665665692348384,0.9654377880184332,0.9656453227997034,0.963302752293578,0.9658329309512312,0.963302752293578,0.9639623433471248,0.9583333333333334,0.9594621757045843,0.9583333333333334,0.9574799545318413,0.9541284403669725,0.9579510703363914,0.9541284403669725,0.9532179738003432,252.52176141738892,N/A,5268.245329618454
4,0.950275442157147,0.95173013378766,0.950275442157147,0.9486868058176876,0.9416539827498731,0.9437292484420682,0.9416539827498731,0.93898336696923,0.9608294930875576,0.9605432197332554,0.9608294930875576,0.9605606330622912,0.9724770642201835,0.9731556100870955,0.9724770642201835,0.972667852221738,0.9259259259259259,0.9308702082765444,0.9259259259259259,0.9208660004712635,0.963302752293578,0.9624687239366139,0.963302752293578,0.9619744849102647,253.10855150222778,N/A,5268.245329618454
5,0.9546245288489417,0.9558897952705556,0.9546245288489417,0.9533477350912617,0.9452054794520548,0.9466998581002776,0.9452054794520548,0.9431128191942766,0.9493087557603687,0.9512166574887208,0.9493087557603687,0.9476569155110465,0.981651376146789,0.9823709300233855,0.981651376146789,0.9811795543905636,0.9560185185185185,0.9583057979693945,0.9560185185185185,0.9548371764975047,0.9724770642201835,0.9740349662454562,0.9724770642201835,0.9715461287161996,248.78690338134766,N/A,5268.245329618454
6,0.962307915337779,0.9622274745004622,0.962307915337779,0.961727436114881,0.9573820395738204,0.9573219518017795,0.9573820395738204,0.9563809328634588,0.956221198156682,0.9570727309156482,0.956221198156682,0.9552450438343553,0.9908256880733946,0.9909838658652326,0.9908256880733946,0.9907345147871673,0.9837962962962963,0.9837237899274938,0.9837962962962963,0.9837499080373112,0.9357798165137615,0.9357603558520989,0.9357798165137615,0.933259197479381,250.7074019908905,N/A,5268.245329618454
7,0.9524499855030444,0.9539902236256729,0.9524499855030444,0.9511856214941087,0.945712836123795,0.9476754650212829,0.945712836123795,0.9437520515721654,0.9654377880184332,0.9676628231245427,0.9654377880184332,0.9648224934557407,0.8990825688073395,0.898827509478662,0.8990825688073395,0.8958791917341713,0.9490740740740741,0.9512902976121367,0.9490740740740741,0.9483924637733648,0.981651376146789,0.981651376146789,0.981651376146789,0.981651376146789,250.20173382759094,N/A,5268.245329618454
8,0.9556393157436939,0.9570279317832395,0.9556393157436939,0.9546087969159712,0.9497716894977168,0.9519283818458453,0.9497716894977168,0.94816387936681,0.9654377880184332,0.9663675539555587,0.9654377880184332,0.9649489804217609,0.8899082568807339,0.9007547340353415,0.8899082568807339,0.8806155079580551,0.9699074074074074,0.9715806207566158,0.9699074074074074,0.96913846804093,0.963302752293578,0.9666388657214345,0.963302752293578,0.9626474442988203,254.90908288955688,N/A,5268.245329618454
9,0.9552044070745144,0.9563489459821998,0.9552044070745144,0.9541135075601851,0.9497716894977168,0.9514956225286204,0.9497716894977168,0.9481421871617319,0.9331797235023042,0.9394869614118527,0.9331797235023042,0.9293689330781318,0.9357798165137615,0.9429153924566768,0.9357798165137615,0.9299179336397639,0.9722222222222222,0.9721702130141621,0.9722222222222222,0.9718423648635471,0.9541284403669725,0.9579125332537728,0.9541284403669725,0.9528723306502431,252.7233374118805,N/A,5268.245329618454
10,0.9654972455784285,0.9653806680480614,0.9654972455784285,0.9651134143270222,0.9583967529173009,0.9581876006495613,0.9583967529173009,0.9578274559959803,0.9563218390804598,0.9572945278406644,0.9563218390804598,0.9547314962468746,1.0,1.0,1.0,1.0,0.9699074074074074,0.9697727949153682,0.9699074074074074,0.9698290598290599,0.963302752293578,0.9652171877925482,0.963302752293578,0.9621273335152156,251.7623963356018,N/A,5268.245329618454
